from,to,value
Albania,Andorra,1.5
Albania,Armenia,1.0576923076923077
Albania,Australia,3.4
Albania,Austria,1.0681818181818181
Albania,Azerbaijan,3.2291666666666665
Albania,Belarus,0.5
Albania,Belgium,1.375
Albania,Bulgaria,5.15625
Albania,Croatia,2.272727272727273
Albania,Cyprus,3.326923076923077
Albania,Czech Republic,0.125
Albania,Denmark,0.640625
Albania,Estonia,0.5
Albania,Finland,0.9285714285714286
Albania,France,1.59375
Albania,Georgia,0.3125
Albania,Germany,2.75
Albania,Greece,9.133333333333333
Albania,Hungary,2.6666666666666665
Albania,Iceland,1.0357142857142858
Albania,Ireland,1.1875
Albania,Israel,2.3392857142857144
Albania,Italy,10.5
Albania,Latvia,0.017857142857142856
Albania,Lithuania,0.36538461538461536
Albania,Malta,2.923076923076923
Albania,Moldova,1.2884615384615385
Albania,Monaco,0.6666666666666666
Albania,Montenegro,6.8
Albania,Netherlands,2.1041666666666665
Albania,North Macedonia,9.291666666666666
Albania,Norway,1.671875
Albania,Poland,1.2291666666666667
Albania,Portugal,1.6818181818181819
Albania,Romania,1.75
Albania,Russia,2.375
Albania,San Marino,6.1
Albania,Serbia,2.3333333333333335
Albania,Slovenia,1.7083333333333333
Albania,Spain,3.25
Albania,Sweden,3.05
Albania,Switzerland,2.1875
Albania,Türkiye,10.055555555555555
Albania,Ukraine,1.1785714285714286
Albania,United Kingdom,1.4375
Andorra,Albania,0.5
Andorra,Armenia,0.375
Andorra,Austria,2.6666666666666665
Andorra,Belarus,0.0
Andorra,Belgium,1.3333333333333333
Andorra,Bulgaria,0.0
Andorra,Croatia,0.0
Andorra,Cyprus,0.75
Andorra,Denmark,2.0833333333333335
Andorra,Estonia,0.0
Andorra,Finland,5.25
Andorra,France,4.333333333333333
Andorra,Germany,0.8333333333333334
Andorra,Greece,3.25
Andorra,Iceland,2.6666666666666665
Andorra,Ireland,0.8
Andorra,Israel,4.0
Andorra,Latvia,1.6
Andorra,Lithuania,1.4
Andorra,Malta,1.8
Andorra,Moldova,0.6
Andorra,Monaco,6.333333333333333
Andorra,Montenegro,0.3333333333333333
Andorra,Netherlands,3.1
Andorra,North Macedonia,0.0
Andorra,Norway,3.75
Andorra,Poland,2.4
Andorra,Portugal,9.5
Andorra,Romania,4.25
Andorra,Russia,2.0833333333333335
Andorra,Serbia,0.375
Andorra,Slovenia,0.8
Andorra,Spain,10.0
Andorra,Sweden,3.25
Andorra,Switzerland,1.7
Andorra,Türkiye,1.5
Andorra,Ukraine,5.916666666666667
Andorra,United Kingdom,1.0
Armenia,Albania,0.1875
Armenia,Andorra,0.0
Armenia,Australia,1.2
Armenia,Austria,1.25
Armenia,Azerbaijan,0.18181818181818182
Armenia,Belarus,4.2
Armenia,Belgium,1.7045454545454546
Armenia,Bulgaria,2.75
Armenia,Croatia,1.175
Armenia,Cyprus,5.0
Armenia,Czech Republic,2.0833333333333335
Armenia,Denmark,1.0208333333333333
Armenia,Estonia,0.9772727272727273
Armenia,Finland,0.6363636363636364
Armenia,France,3.9615384615384617
Armenia,Georgia,10.0625
Armenia,Germany,0.6538461538461539
Armenia,Greece,6.8076923076923075
Armenia,Hungary,0.34375
Armenia,Iceland,1.0833333333333333
Armenia,Ireland,0.25
Armenia,Israel,2.590909090909091
Armenia,Italy,3.125
Armenia,Latvia,0.3888888888888889
Armenia,Lithuania,0.4
Armenia,Malta,3.8125
Armenia,Moldova,3.0384615384615383
Armenia,Montenegro,4.071428571428571
Armenia,Netherlands,2.3636363636363638
Armenia,North Macedonia,1.9285714285714286
Armenia,Norway,2.9375
Armenia,Poland,1.25
Armenia,Portugal,2.4444444444444446
Armenia,Romania,1.3636363636363635
Armenia,Russia,10.522727272727273
Armenia,San Marino,1.9166666666666667
Armenia,Serbia,1.9375
Armenia,Slovenia,0.6
Armenia,Spain,0.8846153846153846
Armenia,Sweden,3.4615384615384617
Armenia,Switzerland,1.9166666666666667
Armenia,Türkiye,1.5
Armenia,Ukraine,6.636363636363637
Armenia,United Kingdom,0.9230769230769231
Australia,Albania,0.0
Australia,Armenia,0.9166666666666666
Australia,Austria,1.375
Australia,Azerbaijan,0.875
Australia,Belarus,0.875
Australia,Belgium,5.25
Australia,Bulgaria,5.166666666666667
Australia,Cyprus,1.75
Australia,Czech Republic,2.25
Australia,Denmark,3.6
Australia,Estonia,3.25
